timestamp,views
2023-04-10,1136
2023-04-11,1161
2023-04-12,1150
2023-04-13,1212
2023-04-14,1168
2023-04-15,962
2023-04-16,1009
2023-04-17,1223
2023-04-18,1217
2023-04-19,1237
2023-04-20,1349
2023-04-21,1124
2023-04-22,921
2023-04-23,1104
2023-04-24,1344
2023-04-25,1376
2023-04-26,1454
2023-04-27,1429
2023-04-28,1417
2023-04-29,980
2023-04-30,942
2023-05-01,1688
2023-05-02,2222
2023-05-03,1699
2023-05-04,1594
2023-05-05,1441
2023-05-06,1276
2023-05-07,1286
2023-05-08,1419
2023-05-09,1519
2023-05-10,1479
2023-05-11,1515
2023-05-12,1235
2023-05-13,920
2023-05-14,1010
2023-05-15,1275
2023-05-16,1674
2023-05-17,1456
2023-05-18,1487
2023-05-19,1266
2023-05-20,1047
2023-05-21,1184
2023-05-22,1314
2023-05-23,1393
2023-05-24,1398
2023-05-25,1391
2023-05-26,1188
2023-05-27,1009
2023-05-28,970
2023-05-29,1340
2023-05-30,1469
2023-05-31,1553
2023-06-01,1287
2023-06-02,1230
2023-06-03,928
2023-06-04,917
2023-06-05,1282
2023-06-06,1491
2023-06-07,1426
2023-06-08,1241
2023-06-09,1124
2023-06-10,917
2023-06-11,938
2023-06-12,1426
2023-06-13,1384
2023-06-14,1356
2023-06-15,1316
2023-06-16,1227
2023-06-17,971
2023-06-18,1011
2023-06-19,1324
2023-06-20,1186
2023-06-21,1182
2023-06-22,1192
2023-06-23,1121
2023-06-24,852
2023-06-25,931
2023-06-26,1096
2023-06-27,1195
2023-06-28,1011
2023-06-29,1087
2023-06-30,1124
2023-07-01,871
2023-07-02,785
2023-07-03,1121
2023-07-04,1051
2023-07-05,967
2023-07-06,1139
2023-07-07,970
2023-07-08,817
2023-07-09,825
2023-07-10,1023
2023-07-11,1153
2023-07-12,1150
2023-07-13,1106
2023-07-14,1024
2023-07-15,864
2023-07-16,822
2023-07-17,1231
2023-07-18,1209
2023-07-19,1190
2023-07-20,1125
2023-07-21,1033
2023-07-22,1408
2023-07-23,844
2023-07-24,1151
2023-07-25,1148
2023-07-26,1255
2023-07-27,1091
2023-07-28,987
2023-07-29,754
2023-07-30,797
2023-07-31,1165
2023-08-01,1045
2023-08-02,1156
2023-08-03,1180
2023-08-04,951
2023-08-05,801
2023-08-06,802
2023-08-07,1096
2023-08-08,939
2023-08-09,1051
2023-08-10,1011
2023-08-11,904
2023-08-12,679
2023-08-13,895
2023-08-14,931
2023-08-15,1047
2023-08-16,1185
2023-08-17,1266
2023-08-18,952
2023-08-19,822
2023-08-20,855
2023-08-21,1038
2023-08-22,1059
2023-08-23,1110
2023-08-24,992
2023-08-25,956
2023-08-26,812
2023-08-27,893
2023-08-28,1141
2023-08-29,1067
2023-08-30,1078
2023-08-31,1005
2023-09-01,870
2023-09-02,790
2023-09-03,808
2023-09-04,914
2023-09-05,1029
2023-09-06,1062
2023-09-07,1097
2023-09-08,963
2023-09-09,676
2023-09-10,938
2023-09-11,1061
2023-09-12,1195
2023-09-13,1111
2023-09-14,2517
2023-09-15,988
2023-09-16,935
2023-09-17,782
2023-09-18,1141
2023-09-19,1113
2023-09-20,1176
2023-09-21,1369
2023-09-22,913
2023-09-23,888
2023-09-24,840
2023-09-25,1130
2023-09-26,1169
2023-09-27,1223
2023-09-28,1133
2023-09-29,1000
2023-09-30,760
2023-10-01,876
2023-10-02,986
2023-10-03,1113
2023-10-04,1227
2023-10-05,1252
2023-10-06,1026
2023-10-07,753
2023-10-08,909
2023-10-09,1175
2023-10-10,1289
2023-10-11,1277
2023-10-12,1064
2023-10-13,1072
2023-10-14,1067
2023-10-15,1077
2023-10-16,1380
2023-10-17,1193
2023-10-18,1355
2023-10-19,2956
2023-10-20,1214
2023-10-21,996
2023-10-22,996
2023-10-23,1233
2023-10-24,1346
2023-10-25,1434
2023-10-26,1918
2023-10-27,1188
2023-10-28,888
2023-10-29,928
2023-10-30,1243
2023-10-31,1470
2023-11-01,1227
2023-11-02,1324
2023-11-03,1130
2023-11-04,999
2023-11-05,1081
2023-11-06,1310
2023-11-07,1401
2023-11-08,1534
2023-11-09,1394
2023-11-10,1157
2023-11-11,930
2023-11-12,1041
2023-11-13,1321
2023-11-14,1282
2023-11-15,1418
2023-11-16,1518
2023-11-17,1404
2023-11-18,1341
2023-11-19,1772
2023-11-20,1796
2023-11-21,1593
2023-11-22,1543
2023-11-23,1380
2023-11-24,1259
2023-11-25,1058
2023-11-26,1126
2023-11-27,1486
2023-11-28,1519
2023-11-29,1414
2023-11-30,1789
2023-12-01,1237
2023-12-02,1056
2023-12-03,1120
2023-12-04,1489
2023-12-05,1444
2023-12-06,1395
2023-12-07,1285
2023-12-08,1174
2023-12-09,1004
2023-12-10,1040
2023-12-11,1187
2023-12-12,1258
2023-12-13,1302
2023-12-14,1246
2023-12-15,1049
2023-12-16,963
2023-12-17,1012
2023-12-18,1212
2023-12-19,1562
2023-12-20,1550
2023-12-21,1071
2023-12-22,1094
2023-12-23,742
2023-12-24,866
2023-12-25,868
2023-12-26,1051
2023-12-27,1268
2023-12-28,1170
2023-12-29,1002
2023-12-30,946
2023-12-31,848
2024-01-01,1594
